Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Andreas Athanasiou,CHI,C,28,336.66666666667,2,5,3,2,7,58.33,36,5.56,2.62,66,47,26,13,2,6,7,2,1,1,0,7,7,17,11,14,20,73,85,46.20,275,403,40.56,189,303,38.41,148,210,41.34,12,19,38.71,11.34,19.35,36.94,112,183,37.97,51,80,38.93,9,12,42.86,61,103,37.20,2,4,33.33,161,226,41.60,1,3,25.00,8.11,90.95,0.991,34,64,32,282,51.52,93,94,93,50.00
Andreas Englund,LAK,D,82,1007.3833333333,1,9,2,7,10,27.03,42,2.38,1.38,111,57,34,3,0,16,81,24,13,11,0,25,21,8,177,115,76,0,0,-,1001,935,51.70,721,679,51.50,497,479,50.92,37,42,46.84,44.21,39.08,53.08,467,419,52.71,179,183,49.45,19,27,41.30,288,236,54.96,10,10,50.00,595,537,52.56,8,5,61.54,7.44,91.23,0.987,140,162,111,784,55.78,331,263,249,57.07
Andrei Kuzmenko,"CGY, VAN",LW,72,845.46666666667,14,13,9,4,27,62.79,84,16.67,11.82,191,140,127,69,4,27,12,5,5,0,0,15,21,26,12,68,16,1,0,100.00,910,760,54.49,648,569,53.25,427,406,51.26,43,49,46.74,40.51,40.98,49.71,437,353,55.32,197,147,57.27,20,18,52.63,240,206,53.81,9,22,29.03,541,430,55.72,14,6,70.00,10.07,87.93,0.980,176,152,63,739,73.64,316,218,158,66.67
Andrei Svechnikov,CAR,RW,59,850.96666666667,14,21,11,10,35,74.47,117,11.97,14.55,240,174,115,47,7,22,54,26,26,0,0,13,39,23,139,96,22,4,4,50.00,1094,736,59.78,787,571,57.95,502,404,55.41,47,31,60.26,50.72,39.32,56.33,483,342,58.55,182,147,55.32,25,14,64.10,301,195,60.69,12,11,52.17,675,425,61.36,8,4,66.67,9.36,92.33,1.017,172,147,117,633,59.52,334,222,246,57.59
Andrew Cogliano,COL,C,75,624.23333333333,5,10,7,3,15,60.00,56,8.93,4.49,96,73,50,20,3,10,16,8,8,0,0,12,12,11,32,53,27,19,34,35.85,579,568,50.48,392,384,50.52,282,257,52.32,25,18,58.14,23.25,23.1,50.16,232,234,49.79,99,97,50.51,7,10,41.18,133,137,49.26,11,3,78.57,335,373,47.32,4,5,44.44,8.87,93.00,1.019,53,154,105,691,33.54,107,215,202,34.63
Andrew Copp,DET,C,79,1040.6833333333,11,16,8,8,27,54.00,84,13.10,10.33,161,123,98,48,3,14,26,13,13,0,0,7,25,22,33,58,40,460,394,53.86,869,1105,44.02,612,794,43.53,431,517,45.46,50,52,49.02,39.32,46.3,45.92,383,510,42.89,154,191,44.64,28,28,50.00,229,319,41.79,13,14,48.15,540,691,43.87,8,10,44.44,11.60,89.94,1.015,157,261,204,737,43.49,290,352,406,41.67
Andrew Mangiapane,CGY,LW,75,1057.6833333333,11,25,17,8,36,58.06,101,10.89,17.23,234,168,156,75,7,22,31,14,13,1,0,10,27,23,85,77,31,5,5,50.00,1147,1086,51.37,844,752,52.88,573,517,52.57,62,53,53.91,59.9,47.67,55.69,523,517,50.29,211,186,53.15,28,25,52.83,312,331,48.52,21,16,56.76,675,657,50.68,10,10,50.00,10.82,89.75,1.006,169,257,228,739,42.57,330,355,413,44.41
Andrew Peeke,"BOS, CBJ",D,38,561.65,1,8,5,3,9,34.62,36,2.78,0.97,98,61,23,3,3,9,12,6,6,0,0,3,14,3,81,74,64,0,0,-,498,600,45.36,349,403,46.41,240,269,47.15,26,28,48.15,21.41,26.83,44.38,211,286,42.45,79,119,39.90,10,14,41.67,132,167,44.15,8,9,47.06,264,338,43.85,7,5,58.33,10.83,89.59,1.004,54,114,73,474,42.52,120,178,173,40.96
Andrew Poturalski,SEA,C,2,12.833333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,3,0,100.00,8,12,40.00,3,10,23.08,3,9,25.00,0,1,0.00,0.06,0.67,7.95,3,8,27.27,0,2,0.00,0,1,0.00,3,6,33.33,0,0,-,5,3,62.50,0,0,-,0.00,88.89,0.889,2,1,0,14,100.00,2,2,2,50.00
Angus Crookshank,OTT,LW,13,128.5,2,1,0,1,3,60.00,19,10.53,1.43,32,25,13,5,1,3,4,2,2,0,0,3,3,2,20,10,8,0,0,-,116,135,46.22,79,93,45.93,50,64,43.86,5,8,38.46,4.51,5.31,45.90,41,56,42.27,13,17,43.33,2,5,28.57,28,39,41.79,1,3,25.00,76,92,45.24,2,0,100.00,10.00,87.50,0.975,22,18,18,115,55.00,33,25,44,42.86
