Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Travis Konecny,PHI,RW,82,99.883333333333,1,2,2,0,3,100.00,8,12.50,1.13,17,12,9,6,1,1,0,0,0,0,0,1,4,2,6,0,10,0,4,0.00,37,155,19.27,29,110,20.86,22,69,24.18,3,16,15.79,2.72,12.69,17.67,23,89,20.54,15,35,30.00,1,8,11.11,8,54,12.90,1,2,33.33,10,87,10.31,1,5,16.67,13.64,76.81,0.904,3,8,37,98,7.50,3,11,52,5.45
Travis Sanheim,PHI,D,82,191.13333333333,0,2,0,2,2,100.00,4,0.00,0.63,9,7,6,2,0,1,4,2,2,0,0,2,5,9,4,3,24,0,0,-,47,339,12.18,41,241,14.54,28,158,15.05,2,22,8.33,3.29,27.46,10.71,26,190,12.04,15,76,16.48,0,11,0.00,11,114,8.80,1,6,14.29,14,267,4.98,1,5,16.67,7.14,86.08,0.932,1,20,115,93,0.86,8,25,193,3.98
Trent Frederic,"BOS, EDM",C,58,25.2,0,0,0,0,0,-,1,0.00,0.04,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,3,25.00,5,42,10.64,4,32,11.11,2,20,9.09,0,3,0.00,0.14,2.74,4.99,1,20,4.76,1,9,10.00,0,2,0.00,0,11,0.00,0,1,0.00,3,28,9.68,0,0,-,0.00,85.00,0.850,2,2,9,37,18.18,3,2,9,25.00
Trevor Lewis,LAK,C,60,34.083333333333,0,0,0,0,0,-,2,0.00,0.17,2,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,1,3,4,42.86,3,47,6.00,3,37,7.50,3,26,10.34,0,3,0.00,0.28,3.85,6.83,2,27,6.90,1,11,8.33,0,2,0.00,1,16,5.88,0,0,-,2,23,8.00,0,1,0.00,0.00,88.46,0.885,1,3,5,56,16.67,2,6,6,25.00
Trevor Moore,LAK,LW,71,129.05,1,0,0,0,1,50.00,9,11.11,0.91,16,12,5,4,1,2,2,1,1,0,0,2,4,2,2,1,4,0,3,0.00,28,183,13.27,24,144,14.29,20,98,16.95,2,13,13.33,1.48,15.04,8.98,8,104,7.14,6,51,10.53,0,6,0.00,2,53,3.64,0,4,0.00,10,140,6.67,1,3,25.00,10.00,86.73,0.967,4,22,95,95,4.04,9,28,126,6.67
Trevor Zegras,ANA,C,56,1.2166666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,5,-,0,0,0,-
Trevor van Riemsdyk,WSH,D,82,128.66666666667,0,0,0,0,0,0.00,4,0.00,0.16,10,8,2,0,0,0,2,1,1,0,0,0,1,3,1,0,12,0,0,-,48,176,21.43,42,124,25.30,31,81,27.68,3,8,27.27,2.25,12.75,14.98,18,90,16.67,8,32,20.00,1,3,25.00,10,58,14.71,1,4,20.00,24,111,17.78,1,1,50.00,9.68,90.12,0.998,1,3,32,138,3.03,11,12,59,15.71
Tristan Luneau,ANA,D,6,0.16666666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,-,-,-,0,0,0,1,-,0,0,0,-
Troy Stecher,EDM,D,66,45.9,0,0,0,0,0,0.00,1,0.00,0,1,1,0,0,1,0,2,1,1,0,0,0,2,0,1,1,1,0,0,-,15,59,20.27,12,47,20.34,10,31,24.39,1,3,25.00,1.2,4.37,21.52,6,36,14.29,5,8,38.46,1,1,50.00,1,28,3.45,0,2,0.00,5,39,11.36,0,0,-,10.00,90.32,1.003,1,4,20,50,4.76,1,7,25,3.85
Troy Terry,ANA,RW,76,11.766666666667,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-,2,12,14.29,2,8,20.00,2,4,33.33,0,1,0.00,0.07,0.84,7.32,1,7,12.50,0,4,0.00,0,0,-,1,3,25.00,0,0,-,0,5,0.00,0,1,0.00,0.00,75.00,0.750,0,1,2,27,0.00,1,1,2,33.33
