Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %
Mason McTavish,ANA,C,75,193.26666666667,6,6,1,5,12,66.67,51,11.76,8.01,94,81,52,14,4,5,2,1,1,0,0,1,5,1,0,3,0,82,81,50.31,331,49,87.11,254,45,84.95,163,36,81.91,18,5,78.26,25.06,3.35,88.22,168,23,87.96,63,12,84.00,9,2,81.82,105,11,90.52,4,2,66.67,229,12,95.02,5,0,100.00,11.04,86.11,0.972,98,22,5,52,95.15,163,29,8,95.32
Mat?j  Blumel,DAL,RW,7,0.38333333333333,0,0,0,0,0,-,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,1,0,100.00,1,0,100.00,0,0,-,0,0,-,0.03,0,100.00,0,0,-,0,0,-,0,0,-,0,0,-,0,0,-,1,0,100.00,0,0,-,-,-,-,0,0,0,1,-,0,0,0,-
Mathew Barzal,NYI,C,30,85.75,1,3,2,1,4,66.67,10,10.00,1.12,25,15,14,2,0,1,0,0,0,0,0,0,5,1,2,2,2,0,0,-,152,17,89.94,110,14,88.71,76,10,88.37,6,2,75.00,10.23,0.74,93.21,86,7,92.47,26,2,92.86,2,0,100.00,60,5,92.31,3,1,75.00,122,6,95.31,1,0,100.00,7.89,80.00,0.879,41,5,0,15,100.00,81,8,4,95.29
Mathew Dumba,DAL,D,63,34.483333333333,0,1,0,1,1,16.67,2,0.00,0.1,7,3,1,0,0,1,2,1,1,0,0,0,2,1,2,0,0,0,0,-,53,9,85.48,42,9,82.35,29,8,78.38,6,0,100.00,4.39,0.59,88.21,29,4,87.88,16,1,94.12,3,0,100.00,13,3,81.25,1,0,100.00,31,6,83.78,2,0,100.00,20.69,100.00,1.207,9,5,1,49,90.00,15,8,3,83.33
Mathieu Joseph,STL,RW,60,3.7,0,0,0,0,0,0.00,0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100.00,9,1,90.00,8,1,88.89,5,1,83.33,1,0,100.00,1.11,0,99.83,7,0,100.00,3,0,100.00,0,0,-,4,0,100.00,1,0,100.00,5,0,100.00,0,0,-,20.00,100.00,1.200,4,1,0,6,100.00,5,1,0,100.00
Mathieu Olivier,CBJ,RW,82,19.266666666667,0,0,0,0,0,-,1,0.00,0.15,1,1,1,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,0.00,17,5,77.27,10,3,76.92,6,1,85.71,0,0,-,0.97,0.73,57.08,4,1,80.00,2,0,100.00,0,0,-,2,1,66.67,0,0,-,13,3,81.25,0,0,-,0.00,100.00,1.000,10,7,0,21,100.00,10,7,0,100.00
Matias Maccelli,UTA,LW,55,77.166666666667,0,3,3,0,3,75.00,10,0.00,2.25,27,21,11,5,1,2,0,0,0,0,0,0,5,0,1,1,0,0,0,-,110,15,88.00,79,14,84.95,45,11,80.36,4,0,100.00,7.81,1.08,87.86,52,9,85.25,23,3,88.46,1,0,100.00,29,6,82.86,2,0,100.00,77,5,93.90,1,0,100.00,8.89,100.00,1.089,27,11,3,58,90.00,40,16,6,86.96
Mats Zuccarello,MIN,RW,69,230.58333333333,3,13,8,5,16,51.61,37,8.11,3.15,73,52,35,6,1,11,2,1,1,0,0,2,8,2,0,4,2,0,1,0.00,430,59,87.93,329,51,86.58,234,39,85.71,31,3,91.18,35.88,2.53,93.42,250,21,92.25,123,5,96.09,19,0,100.00,127,16,88.81,6,3,66.67,272,25,91.58,6,0,100.00,13.25,92.31,1.056,94,15,0,14,100.00,212,26,10,95.50
Matt Boldy,MIN,LW,82,262.16666666667,6,15,6,9,21,65.63,69,8.70,7.73,129,96,62,17,2,15,4,2,2,0,0,2,11,9,2,13,0,17,15,53.13,474,63,88.27,359,54,86.92,255,43,85.57,32,4,88.89,39.88,2.81,93.41,279,23,92.38,141,6,95.92,20,0,100.00,138,17,89.03,6,4,60.00,300,27,91.74,6,0,100.00,12.55,90.70,1.032,98,19,0,17,100.00,242,35,11,95.65
Matt Coronato,CGY,RW,77,191.38333333333,5,12,5,7,17,60.71,32,15.63,5.54,66,48,43,18,0,12,0,0,0,0,0,0,5,1,0,7,0,15,16,48.39,351,36,90.70,246,33,88.17,167,29,85.20,28,0,100.00,22.54,1.98,91.94,176,18,90.72,58,8,87.88,10,0,100.00,118,10,92.19,9,0,100.00,277,8,97.19,9,0,100.00,16.77,100.00,1.168,109,17,0,37,100.00,202,26,5,97.58
