Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2015-2016,James Reimer,"SJS, TOR",G,38.0,24.0,52.0,42.0,54.0,17.0,1B,40,0.922,2.31,87.03,88,37,1988-03-15,CAN,CAN,75,205,2006,4,6,99,,
2015-2016,Jaroslav Halak,NYI,G,7.0,11.0,4.0,20.0,40.0,3.0,1B,36,0.919,2.3,88.05,80,40,1985-05-13,SVK,SVK,71,189,2003,9,10,271,,
2015-2016,Jeff Zatkoff,PIT,G,56.0,66.0,3.0,3.0,4.0,68.0,Backup,14,0.917,2.79,28.93,34,38,1987-06-09,USA,USA,74,186,2006,3,11,74,,
2015-2016,Jhonas Enroth,LAK,G,35.0,15.0,59.0,40.0,23.0,31.0,Backup,16,0.922,2.17,33.63,31,37,1988-06-25,SWE,SWE,70,175,2006,2,16,46,,
2015-2016,Jimmy Howard,DET,G,50.0,38.0,33.0,46.0,46.0,39.0,1B,37,0.906,2.8,85.15,92,41,1984-03-26,USA,USA,73,218,2003,2,34,64,,
2015-2016,John Gibson,ANA,G,34.0,48.0,21.0,1.0,45.0,54.0,1B,40,0.92,2.07,87.07,79,31,1993-07-14,USA,USA,74,210,2011,2,9,39,,
2015-2016,Jonas Gustavsson,BOS,G,64.0,65.0,51.0,51.0,55.0,58.0,Backup,24,0.909,2.72,49.47,57,40,1984-10-24,SWE,SWE,76,201,-,-,-,-,,
2015-2016,Jonas Hiller,CGY,G,60.0,54.0,64.0,52.0,67.0,35.0,Backup,26,0.879,3.51,60.7,79,43,1982-02-12,CHE,CHE,74,191,-,-,-,-,,
2015-2016,Jonathan Bernier,TOR,G,44.0,46.0,17.0,62.0,50.0,22.0,1B,38,0.908,2.88,91.59,103,36,1988-08-07,CAN,CAN,72,185,2006,1,11,11,,
2015-2016,Jonathan Quick,LAK,G,18.0,20.0,31.0,35.0,34.0,19.0,Starter,68,0.918,2.22,165.53,149,39,1986-01-21,USA,USA,73,220,2005,3,11,72,,
2015-2016,Joni Ortio,CGY,G,58.0,51.0,62.0,37.0,56.0,65.0,Backup,22,0.902,2.76,52.03,55,34,1991-04-16,FIN,FIN,73,190,2009,6,20,171,,
2015-2016,Joonas Korpisalo,CBJ,G,27.0,16.0,56.0,55.0,53.0,32.0,Backup,31,0.92,2.6,86.71,78,31,1994-04-28,FIN,FIN,75,193,2012,3,1,62,,
2015-2016,Kari Lehtonen,DAL,G,40.0,49.0,23.0,48.0,20.0,45.0,1A,43,0.906,2.76,101.57,105,41,1983-11-16,FIN,FIN,76,209,2002,1,2,2,,
2015-2016,Karri Ramo,CGY,G,41.0,42.0,30.0,13.0,26.0,53.0,1B,37,0.909,2.63,89.0,94,39,1986-07-01,FIN,FIN,74,206,2004,6,28,191,,
2015-2016,Keith Kinkaid,NJD,G,59.0,59.0,53.0,65.0,48.0,51.0,Backup,23,0.904,2.8,49.59,58,36,1989-07-04,USA,USA,74,195,-,-,-,-,,
2015-2016,Linus Ullmark,BUF,G,63.0,58.0,63.0,18.0,22.0,67.0,Backup,20,0.913,2.6,42.09,49,31,1993-07-31,SWE,SWE,77,212,2012,6,12,163,,
2015-2016,Louis Domingue,ARI,G,53.0,35.0,66.0,59.0,27.0,62.0,1B,39,0.912,2.75,96.54,101,33,1992-03-06,CAN,CAN,75,208,2010,5,18,138,,
2015-2016,Marc-Andre Fleury,PIT,G,15.0,18.0,13.0,9.0,42.0,12.0,Starter,58,0.921,2.29,135.51,132,40,1984-11-28,CAN,CAN,74,185,2003,1,1,1,,
2015-2016,Martin Jones,SJS,G,22.0,29.0,35.0,36.0,21.0,23.0,Starter,65,0.918,2.27,150.1,143,35,1990-01-10,CAN,CAN,76,203,-,-,-,-,,
2015-2016,Matt Murray,PIT,G,21.0,36.0,37.0,64.0,3.0,34.0,Backup,13,0.93,2.0,28.61,25,31,1994-05-25,CAN,CAN,77,203,2012,3,22,83,,
2015-2016,Michael Hutchinson,WPG,G,51.0,60.0,34.0,43.0,41.0,55.0,Backup,30,0.907,2.84,68.53,75,35,1990-03-02,CAN,CAN,75,201,2008,3,16,77,,
2015-2016,Michal Neuvirth,PHI,G,12.0,23.0,18.0,6.0,39.0,26.0,Backup,32,0.924,2.27,79.5,69,37,1988-03-23,CZE,CZE,73,209,2006,2,4,34,,
2015-2016,Mike Condon,MTL,G,66.0,62.0,61.0,25.0,65.0,63.0,Starter,55,0.903,2.71,128.02,141,35,1990-04-27,USA,USA,74,195,-,-,-,-,,
2015-2016,Mike Smith,ARI,G,39.0,19.0,38.0,27.0,15.0,49.0,Backup,32,0.916,2.63,75.33,77,43,1982-03-22,CAN,CAN,77,220,2001,5,30,161,,
2015-2016,Ondrej Pavelec,WPG,G,30.0,33.0,36.0,22.0,18.0,50.0,1B,33,0.904,2.78,86.53,88,37,1987-08-31,CZE,CZE,75,212,2005,2,11,41,,
2015-2016,Pekka Rinne,NSH,G,54.0,53.0,43.0,14.0,44.0,57.0,Starter,66,0.908,2.48,133.03,161,42,1982-11-03,FIN,FIN,77,217,2004,8,31,258,,
2015-2016,Petr Mrazek,DET,G,32.0,32.0,44.0,47.0,29.0,37.0,Starter,54,0.921,2.33,119.42,115,33,1992-02-14,CZE,CZE,74,188,2010,5,21,141,,
2015-2016,Philipp Grubauer,WSH,G,24.0,40.0,1.0,33.0,62.0,10.0,Backup,22,0.918,2.32,46.23,43,33,1991-11-25,DEU,DEU,73,188,2010,4,22,112,,
2015-2016,Reto Berra,COL,G,25.0,5.0,54.0,57.0,59.0,2.0,Backup,14,0.922,2.41,31.55,29,38,1987-01-03,CHE,CHE,76,218,2006,4,13,106,,
2015-2016,Roberto Luongo,FLA,G,20.0,12.0,48.0,16.0,36.0,16.0,Starter,62,0.922,2.35,147.24,141,46,1979-04-04,CAN,CAN,75,215,1997,1,4,4,,
2015-2016,Robin Lehner,BUF,G,49.0,57.0,20.0,63.0,37.0,30.0,Backup,21,0.924,2.52,47.58,48,33,1991-07-24,SWE,SWE,76,250,2009,2,16,46,,
2015-2016,Ryan Miller,VAN,G,23.0,30.0,29.0,24.0,35.0,18.0,Starter,51,0.916,2.7,136.98,137,44,1980-07-17,USA,USA,75,170,1999,5,12,138,,
2015-2016,Scott Darling,CHI,G,14.0,22.0,26.0,45.0,12.0,24.0,Backup,29,0.915,2.58,65.48,67,36,1988-12-22,USA,USA,78,226,2007,6,2,153,,
2015-2016,Semyon Varlamov,COL,G,10.0,25.0,9.0,32.0,5.0,21.0,Starter,57,0.914,2.81,144.19,148,37,1988-04-27,RUS,RUS,74,206,2006,1,23,23,,
2015-2016,Sergei Bobrovsky,CBJ,G,37.0,43.0,32.0,39.0,13.0,47.0,1B,37,0.908,2.75,90.07,97,36,1988-09-20,RUS,RUS,74,182,-,-,-,-,,
2015-2016,Steve Mason,PHI,G,17.0,4.0,55.0,21.0,2.0,43.0,Starter,54,0.918,2.51,136.28,132,37,1988-05-29,CAN,CAN,76,188,2006,3,6,69,,
2015-2016,Thomas Greiss,NYI,G,9.0,6.0,6.0,56.0,6.0,5.0,1B,41,0.925,2.36,104.52,90,39,1986-01-29,DEU,DEU,74,219,2004,3,29,94,,
2015-2016,Tuukka Rask,BOS,G,29.0,28.0,40.0,19.0,9.0,42.0,Starter,64,0.915,2.56,151.5,157,38,1987-03-10,FIN,FIN,75,176,2005,1,21,21,,
