Season,Player,Team,Position,all_rank,evs_rank,gpk_rank,ldg_rank,mdg_rank,hdg_rank,Role,GP,SV%,GAA,xG Against,Goals Against,Age,Date of Birth,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Round,Round Pick,Overall Draft Position,Contract Years,Cap Hit
2020-2021,Jake Allen,MTL,G,20.0,26.0,4.0,51.0,14.0,8.0,Backup,29,0.907,2.68,68.32,76,34,1990-08-07,CAN,CAN,74,195,2008,2,4,34,,
2020-2021,Jake Oettinger,DAL,G,44.0,50.0,58.0,54.0,36.0,61.0,Backup,29,0.911,2.36,58.94,63,26,1998-12-18,USA,USA,77,220,2017,1,26,26,,
2020-2021,James Reimer,CAR,G,28.0,24.0,36.0,6.0,10.0,58.0,Backup,22,0.906,2.66,53.51,59,37,1988-03-15,CAN,CAN,75,205,2006,4,6,99,,
2020-2021,Jaroslav Halak,BOS,G,29.0,37.0,6.0,37.0,34.0,15.0,Backup,19,0.905,2.53,38.23,46,40,1985-05-13,SVK,SVK,71,189,2003,9,10,271,,
2020-2021,Jeremy Swayman,BOS,G,2.0,6.0,20.0,57.0,17.0,1.0,Backup,10,0.945,1.5,20.03,15,26,1998-11-24,USA,USA,74,194,2017,4,18,111,,
2020-2021,John Gibson,ANA,G,25.0,15.0,41.0,4.0,27.0,46.0,1B,35,0.903,2.98,95.64,101,31,1993-07-14,USA,USA,74,210,2011,2,9,39,,
2020-2021,Jonas Johansson,"BUF, COL",G,61.0,69.0,17.0,44.0,67.0,40.0,Backup,15,0.897,2.86,31.23,39,29,1995-09-19,SWE,SWE,77,220,2014,3,1,61,,
2020-2021,Jonathan Bernier,DET,G,26.0,23.0,24.0,19.0,25.0,34.0,Backup,24,0.914,2.99,64.1,65,36,1988-08-07,CAN,CAN,72,185,2006,1,11,11,,
2020-2021,Jonathan Quick,LAK,G,47.0,53.0,39.0,50.0,45.0,49.0,Backup,22,0.898,2.85,52.7,58,39,1986-01-21,USA,USA,73,220,2005,3,11,72,,
2020-2021,Joonas Korpisalo,CBJ,G,57.0,47.0,57.0,24.0,40.0,63.0,1B,33,0.894,3.3,75.33,96,31,1994-04-28,FIN,FIN,75,193,2012,3,1,62,,
2020-2021,Jordan Binnington,STL,G,16.0,10.0,35.0,53.0,21.0,6.0,1A,42,0.91,2.65,107.18,108,31,1993-07-11,CAN,CAN,74,172,2011,3,27,88,,
2020-2021,Josef Korenar,SJS,G,59.0,63.0,30.0,65.0,60.0,57.0,Backup,10,0.899,3.17,22.57,26,27,1998-01-31,CZE,,73,185,-,-,-,-,,
2020-2021,Juuse Saros,NSH,G,4.0,2.0,49.0,9.0,2.0,12.0,1B,36,0.93,2.13,84.23,73,30,1995-04-19,FIN,FIN,71,180,2013,4,8,99,,
2020-2021,Kaapo Kahkonen,MIN,G,65.0,64.0,66.0,63.0,66.0,47.0,Backup,24,0.901,2.88,52.76,68,28,1996-08-16,FIN,FIN,74,217,2014,4,19,109,,
2020-2021,Keith Kinkaid,NYR,G,63.0,67.0,7.0,67.0,23.0,67.0,Backup,9,0.897,2.59,16.72,21,36,1989-07-04,USA,USA,74,195,-,-,-,-,,
2020-2021,Kevin Lankinen,CHI,G,45.0,38.0,68.0,48.0,39.0,55.0,1B,37,0.909,3.01,100.03,109,30,1995-04-28,FIN,FIN,74,190,-,-,-,-,,
2020-2021,Laurent Brossoit,WPG,G,19.0,16.0,9.0,41.0,30.0,7.0,Backup,14,0.918,2.42,31.93,30,32,1993-03-23,CAN,CAN,75,215,2011,6,13,164,,
2020-2021,Linus Ullmark,BUF,G,32.0,11.0,64.0,21.0,22.0,38.0,Backup,20,0.917,2.63,44.96,49,31,1993-07-31,SWE,SWE,77,212,2012,6,12,163,,
2020-2021,Mackenzie Blackwood,NJD,G,36.0,33.0,53.0,30.0,18.0,43.0,1B,35,0.902,3.04,92.02,106,28,1996-12-09,CAN,CAN,76,225,2015,2,12,42,,
2020-2021,Malcolm Subban,CHI,G,51.0,54.0,46.0,66.0,8.0,56.0,Backup,16,0.9,2.93,37.79,43,31,1993-12-21,CAN,CAN,74,215,2012,1,24,24,,
2020-2021,Marc-Andre Fleury,VGK,G,10.0,19.0,19.0,12.0,15.0,16.0,1B,36,0.928,1.98,88.7,71,40,1984-11-28,CAN,CAN,74,185,2003,1,1,1,,
2020-2021,Marcus Hogberg,OTT,G,69.0,68.0,69.0,68.0,69.0,35.0,Backup,14,0.876,3.74,27.4,40,30,1994-11-25,SWE,SWE,77,222,2013,3,17,78,,
2020-2021,Martin Jones,SJS,G,53.0,57.0,25.0,60.0,43.0,52.0,1B,34,0.896,3.28,85.4,102,35,1990-01-10,CAN,CAN,76,203,-,-,-,-,,
2020-2021,Matt Murray,OTT,G,56.0,52.0,23.0,23.0,64.0,42.0,Backup,27,0.893,3.38,62.83,79,31,1994-05-25,CAN,CAN,77,203,2012,3,22,83,,
2020-2021,Mike Smith,EDM,G,23.0,42.0,3.0,15.0,38.0,19.0,Backup,32,0.923,2.31,76.63,71,43,1982-03-22,CAN,CAN,77,220,2001,5,30,161,,
2020-2021,Mikko Koskinen,EDM,G,38.0,44.0,12.0,33.0,44.0,25.0,Backup,26,0.899,3.17,63.29,76,36,1988-07-18,FIN,FIN,79,202,2009,2,1,31,,
2020-2021,Pekka Rinne,NSH,G,50.0,35.0,67.0,43.0,48.0,33.0,Backup,24,0.906,2.84,50.4,62,42,1982-11-03,FIN,FIN,77,217,2004,8,31,258,,
2020-2021,Petr Mrazek,CAR,G,3.0,1.0,10.0,18.0,9.0,14.0,Backup,12,0.923,2.06,29.39,23,33,1992-02-14,CZE,CZE,74,188,2010,5,21,141,,
2020-2021,Philipp Grubauer,COL,G,12.0,14.0,11.0,26.0,28.0,4.0,1B,40,0.922,1.95,82.22,77,33,1991-11-25,DEU,DEU,73,188,2010,4,22,112,,
2020-2021,Robin Lehner,VGK,G,7.0,22.0,1.0,35.0,1.0,10.0,Backup,19,0.913,2.29,47.26,44,33,1991-07-24,SWE,SWE,76,250,2009,2,16,46,,
2020-2021,Ryan Miller,ANA,G,48.0,49.0,47.0,61.0,58.0,24.0,Backup,16,0.882,3.51,40.21,51,44,1980-07-17,USA,USA,75,170,1999,5,12,138,,
2020-2021,Scott Wedgewood,NJD,G,52.0,48.0,61.0,45.0,62.0,51.0,Backup,16,0.9,3.11,40.35,46,32,1992-08-14,CAN,CAN,74,205,2010,3,24,84,,
2020-2021,Semyon Varlamov,NYI,G,8.0,7.0,13.0,29.0,3.0,9.0,1B,36,0.929,2.04,81.48,72,37,1988-04-27,RUS,RUS,74,206,2006,1,23,23,,
2020-2021,Sergei Bobrovsky,FLA,G,42.0,43.0,40.0,58.0,29.0,26.0,Backup,31,0.906,2.91,75.47,88,36,1988-09-20,RUS,RUS,74,182,-,-,-,-,,
2020-2021,Thatcher Demko,VAN,G,21.0,34.0,16.0,39.0,20.0,36.0,1B,35,0.915,2.85,105.96,99,29,1995-12-08,USA,USA,76,192,2014,2,6,36,,
2020-2021,Thomas Greiss,DET,G,24.0,20.0,59.0,46.0,12.0,23.0,1B,34,0.912,2.7,69.22,79,39,1986-01-29,DEU,DEU,74,219,2004,3,29,94,,
2020-2021,Tristan Jarry,PIT,G,39.0,36.0,62.0,34.0,26.0,53.0,1B,39,0.909,2.75,88.75,100,30,1995-04-29,CAN,CAN,74,194,2013,2,14,44,,
2020-2021,Tuukka Rask,BOS,G,13.0,17.0,22.0,38.0,16.0,5.0,Backup,24,0.913,2.28,51.88,53,38,1987-03-10,FIN,FIN,75,176,2005,1,21,21,,
2020-2021,Ville Husso,STL,G,68.0,65.0,65.0,62.0,68.0,60.0,Backup,17,0.893,3.21,40.92,49,30,1995-02-06,FIN,FIN,75,200,2014,4,4,94,,
2020-2021,Vitek Vanecek,WSH,G,54.0,55.0,38.0,56.0,49.0,66.0,1B,37,0.908,2.69,85.25,95,29,1996-01-09,CZE,CZE,74,184,2014,2,9,39,,
