Player,Team,GP,TOI,Shots Against,Saves,Goals Against,SV%,GAA,GSAA,xG Against,HD Shots Against,HD Saves,HD Goals Against,HDSV%,HDGAA,HDGSAA,MD Shots Against,MD Saves,MD Goals Against,MDSV%,MDGAA,MDGSAA,LD Shots Against,LD Saves,LD Goals Against,LDSV%,LDGAA,LDGSAA,Rush Attempts Against,Rebound Attempts Against,Avg. Shot Distance,Avg. Goal Distance
Spencer Martin,CAR,9,334.2,138,119,19,0.862,3.41,-6.32,13.7,40,31,9,0.775,1.62,-1.53,34,29,5,0.853,0.90,-1.04,57,52,5,0.912,0.90,-3.00,12,18,32.86,21.63
Stuart Skinner,EDM,50,2509.5166666667,1094,989,105,0.904,2.51,-4.46,106.12,264,212,52,0.803,1.24,-2.69,319,280,39,0.878,0.93,-1.82,455,441,14,0.969,0.33,1.97,89,222,35.70,20.75
Thatcher Demko,VAN,23,1093.3,479,431,48,0.900,2.63,-3.98,48.82,131,104,27,0.794,1.48,-2.53,115,105,10,0.913,0.55,3.40,211,200,11,0.948,0.60,-3.59,28,108,34.81,18.50
Trent Miner,COL,2,85.633333333333,33,29,4,0.879,2.80,-0.97,2.24,6,4,2,0.667,1.40,-0.88,9,7,2,0.778,1.40,-0.95,15,15,0,1.000,0.00,0.53,3,5,47.15,22.75
Tristan Jarry,PIT,36,1725.9,811,727,84,0.896,2.92,-9.47,75.12,210,169,41,0.805,1.43,-1.78,215,182,33,0.847,1.15,-7.94,349,339,10,0.971,0.35,2.25,80,159,35.45,18.39
Tristan Lennox,NYI,1,4.7166666666667,2,1,1,0.500,12.72,-0.82,0.04,0,0,0,-,0.00,0.00,1,0,1,0.000,12.72,-0.88,0,0,0,-,0.00,0.00,0,0,61.00,29.00
Ukko-Pekka Luukkonen,BUF,55,2677.5166666667,1234,1106,128,0.896,2.87,-14.60,116.69,311,243,68,0.781,1.52,-9.91,348,307,41,0.882,0.92,-0.44,520,501,19,0.963,0.43,-0.74,119,265,35.58,19.70
Victor Ostman,SEA,1,19.616666666667,12,12,0,1.000,0.00,1.10,1.1,4,4,0,1.000,0.00,0.75,6,6,0,1.000,0.00,0.70,2,2,0,1.000,0.00,0.07,0,2,21.50,-
Ville Husso,"ANA, DET",13,544.81666666667,298,270,28,0.906,3.08,-0.61,25.52,73,61,12,0.836,1.32,1.63,67,62,5,0.925,0.55,2.81,142,131,11,0.923,1.21,-6.01,16,46,37.57,24.14
Vitek Vanecek,"FLA, SJS",25,1129.95,583,523,60,0.897,3.19,-6.42,52.42,149,117,32,0.785,1.70,-4.17,142,122,20,0.859,1.06,-3.45,263,255,8,0.970,0.42,1.23,43,114,36.55,17.57
Yaniv Perets,CAR,1,6.3333333333333,4,4,0,1.000,0.00,0.37,0.26,2,2,0,1.000,0.00,0.37,0,0,0,-,0.00,0.00,2,2,0,1.000,0.00,0.07,0,0,26.00,-
Yaroslav Askarov,SJS,13,617.78333333333,302,273,29,0.904,2.82,-1.25,28.9,86,71,15,0.826,1.46,1.06,81,70,11,0.864,1.07,-1.56,121,119,2,0.983,0.19,2.25,31,59,34.07,21.10
