Player,Team,Position,Age,Date of Birth,Birth City,Birth State/Province,Birth Country,Nationality,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Scott Wedgewood,DAL,G,32,1992-08-14,Brampton,ON,CAN,CAN,74,205,2010,N.J,3,24,84
Semyon Varlamov,NYI,G,36,1988-04-27,Samara,,RUS,RUS,74,206,2006,WSH,1,23,23
Sergei Bobrovsky,FLA,G,36,1988-09-20,Novokuznetsk,,RUS,RUS,74,182,-,-,-,-,-
Spencer Knight,FLA,G,23,2001-04-19,Stamford,CT,USA,USA,75,192,2019,FLA,1,13,13
Spencer Martin,VAN,G,29,1995-06-08,Oakville,ON,CAN,CAN,75,191,2013,COL,3,2,63
Stuart Skinner,EDM,G,26,1998-11-01,Edmonton,AB,CAN,CAN,76,206,2017,EDM,3,16,78
Thatcher Demko,VAN,G,29,1995-12-08,San Diego,CA,USA,USA,76,192,2014,VAN,2,6,36
Thomas Greiss,STL,G,39,1986-01-29,Fussen,,DEU,DEU,74,219,2004,S.J,3,29,94
Tristan Jarry,PIT,G,29,1995-04-29,Surrey,BC,CAN,CAN,74,194,2013,PIT,2,14,44
Ukko-Pekka Luukkonen,BUF,G,26,1999-03-09,Espoo,,FIN,FIN,77,217,2017,BUF,2,23,54
Ville Husso,DET,G,30,1995-02-06,Helsinki,,FIN,FIN,75,200,2014,STL,4,4,94
Vitek Vanecek,NJD,G,29,1996-01-09,Havlickuv Brod,,CZE,CZE,74,184,2014,WSH,2,9,39
Yaroslav Askarov,NSH,G,22,2002-06-16,Omsk,,RUS,RUS,75,178,2020,NSH,1,11,11
